step,days_passed,susceptible,infected,recovered,partially_vaccinated,fully_vaccinated_without_booster,fully_vaccinated_with_booster,dead,mean_R₀,median_R₀,infection_probability,vaccination_probability
118,2020-08-18,148282,879,536,0,0,0,13,0.6666666666666666,0.0,0.136,0.09788
119,2020-08-19,148266,881,550,0,0,0,13,0.6470588235294118,1.0,0.09,0.09788
120,2020-08-20,148238,880,577,0,0,0,15,0.6111111111111112,0.0,0.106,0.09788
121,2020-08-21,148213,899,583,0,0,0,15,0.8666666666666667,1.0,0.158,0.09788
122,2020-08-22,148185,907,603,0,0,0,15,1.0,0.5,0.192,0.09788
123,2020-08-23,148143,927,625,0,0,0,15,0.7391304347826086,0.0,0.126,0.09788
124,2020-08-24,148121,913,661,0,0,0,15,0.7560975609756098,0.0,0.23,0.09788
125,2020-08-25,148085,915,695,0,0,0,15,1.2,1.0,0.182,0.09788
126,2020-08-26,148035,941,719,0,0,0,15,0.9705882352941176,1.0,0.186,0.09788
127,2020-08-27,147997,947,750,0,0,0,16,0.9210526315789473,1.0,0.132,0.09788
128,2020-08-28,147975,967,752,0,0,0,16,1.0,1.0,0.236,0.09788
129,2020-08-29,147923,1002,768,0,0,0,17,0.6818181818181818,0.5,0.23,0.09788
130,2020-08-30,147860,1037,796,0,0,0,17,1.4166666666666667,1.0,0.188,0.09788
131,2020-08-31,147818,1058,817,0,0,0,17,0.9642857142857143,0.0,0.228,0.09788
132,2020-09-01,147786,1080,825,0,0,0,19,0.6,0.0,0.104,0.09788
133,2020-09-02,147757,1099,833,0,0,0,21,1.04,1.0,0.162,0.09788
134,2020-09-03,147737,1091,860,0,0,0,22,0.8947368421052632,0.0,0.22,0.09788
135,2020-09-04,147699,1118,870,0,0,0,23,0.8260869565217391,1.0,0.08,0.09788
136,2020-09-05,147677,1107,903,0,0,0,23,0.75,0.0,0.23,0.09788
137,2020-09-06,147611,1149,927,0,0,0,23,0.6333333333333333,0.0,0.218,0.09788
138,2020-09-07,147555,1182,950,0,0,0,23,0.9375,1.0,0.146,0.09788
139,2020-09-08,147533,1190,964,0,0,0,23,1.0434782608695652,1.0,0.15,0.09788
140,2020-09-09,147501,1176,1009,0,0,0,24,1.0,0.5,0.206,0.09788
141,2020-09-10,147461,1204,1020,0,0,0,25,0.9565217391304348,1.0,0.122,0.09788
142,2020-09-11,147430,1217,1038,0,0,0,25,0.9210526315789473,0.0,0.176,0.09788
143,2020-09-12,147384,1247,1053,0,0,0,26,1.1,0.0,0.23,0.09788
144,2020-09-13,147320,1307,1057,0,0,0,26,0.7,0.0,0.206,0.09788
145,2020-09-14,147271,1338,1075,0,0,0,26,1.0,0.0,0.152,0.09788
146,2020-09-15,147243,1341,1100,0,0,0,26,1.0555555555555556,0.0,0.1,0.09788
147,2020-09-16,147222,1329,1133,0,0,0,26,0.9183673469387755,1.0,0.198,0.09788
148,2020-09-17,147183,1362,1139,0,0,0,26,1.3157894736842106,1.0,0.154,0.09788
149,2020-09-18,147150,1377,1157,0,0,0,26,0.9142857142857143,1.0,0.19,0.09788
150,2020-09-19,147111,1398,1175,0,0,0,26,0.8823529411764706,1.0,0.164,0.09788
151,2020-09-20,147082,1416,1186,0,0,0,26,1.2333333333333334,1.0,0.104,0.09788
152,2020-09-21,147063,1406,1215,0,0,0,26,0.4186046511627907,0.0,0.118,0.09788
153,2020-09-22,147039,1411,1234,0,0,0,26,0.9259259259259259,1.0,0.234,0.09788
154,2020-09-23,146979,1448,1256,0,0,0,27,1.5,1.0,0.202,0.09788
155,2020-09-24,146946,1436,1299,0,0,0,29,0.9,0.0,0.086,0.09788
156,2020-09-25,146929,1422,1328,0,0,0,31,1.3636363636363635,1.0,0.082,0.09788
157,2020-09-26,146911,1417,1350,0,0,0,32,1.1428571428571428,1.0,0.162,0.09788
158,2020-09-27,146878,1413,1386,0,0,0,33,0.8771929824561403,0.0,0.098,0.09788
159,2020-09-28,146857,1383,1433,0,0,0,37,0.8873239436619719,1.0,0.124,0.09788
160,2020-09-29,146828,1383,1462,0,0,0,37,1.0204081632653061,1.0,0.184,0.09788
161,2020-09-30,146796,1395,1482,0,0,0,37,1.1666666666666667,1.0,0.12,0.09788
162,2020-10-01,146769,1396,1508,0,0,0,37,1.4318181818181819,1.0,0.16,0.09788
163,2020-10-02,146736,1417,1520,0,0,0,37,1.3,1.0,0.198,0.09788
164,2020-10-03,146705,1411,1557,0,0,0,37,1.04,0.5,0.186,0.09788
165,2020-10-04,146658,1447,1568,0,0,0,37,1.303030303030303,1.0,0.156,0.09788
166,2020-10-05,146623,1429,1619,0,0,0,39,0.8888888888888888,0.5,0.208,0.09788
167,2020-10-06,146579,1433,1656,0,0,0,42,0.7384615384615385,0.0,0.136,0.09788
168,2020-10-07,146545,1457,1665,0,0,0,43,1.2580645161290323,1.0,0.084,0.09788
169,2020-10-08,146531,1451,1684,0,0,0,44,1.15,0.0,0.084,0.09788
170,2020-10-09,146506,1450,1710,0,0,0,44,1.4901960784313726,1.0,0.194,0.09788
171,2020-10-10,146457,1471,1738,0,0,0,44,1.2352941176470589,0.0,0.088,0.09788
172,2020-10-11,146434,1456,1776,0,0,0,44,1.0333333333333334,1.0,0.19,0.09788
173,2020-10-12,146386,1450,1828,0,0,0,46,1.075,1.0,0.116,0.09788
174,2020-10-13,146362,1444,1858,0,0,0,46,0.8620689655172413,0.0,0.122,0.09788
175,2020-10-14,146333,1464,1866,0,0,0,47,0.8205128205128205,0.0,0.22,0.09788
176,2020-10-15,146289,1501,1872,0,0,0,48,1.6486486486486487,1.0,0.172,0.09788
177,2020-10-16,146259,1523,1880,0,0,0,48,0.9038461538461539,0.0,0.196,0.09788
178,2020-10-17,146210,1566,1884,0,0,0,50,1.26,1.0,0.212,0.09788
179,2020-10-18,146166,1583,1909,0,0,0,52,1.1818181818181819,1.0,0.234,0.09788
180,2020-10-19,146101,1624,1932,0,0,0,53,1.375,1.0,0.08,0.09788
181,2020-10-20,146083,1642,1931,0,0,0,54,1.1515151515151516,1.0,0.096,0.09788
182,2020-10-21,146055,1659,1942,0,0,0,54,1.0625,0.0,0.132,0.09788
183,2020-10-22,146032,1633,1991,0,0,0,54,1.0379746835443038,1.0,0.172,0.09788
184,2020-10-23,145995,1642,2019,0,0,0,54,1.0208333333333333,1.0,0.086,0.09788
185,2020-10-24,145982,1663,2010,0,0,0,55,1.2666666666666666,1.0,0.102,0.09788
186,2020-10-25,145957,1691,2007,0,0,0,55,1.3,1.0,0.148,0.09788
187,2020-10-26,145913,1716,2025,0,0,0,56,1.4528301886792452,0.0,0.192,0.09788
188,2020-10-27,145863,1755,2036,0,0,0,56,1.4390243902439024,1.0,0.192,0.09788
189,2020-10-28,145814,1788,2051,0,0,0,57,1.3877551020408163,1.0,0.234,0.09788
190,2020-10-29,145751,1836,2066,0,0,0,57,1.1666666666666667,1.0,0.092,0.09788
191,2020-10-30,145728,1851,2074,0,0,0,57,1.6222222222222222,1.0,0.174,0.09788
192,2020-10-31,145683,1881,2089,0,0,0,57,1.2352941176470589,1.0,0.166,0.09788
193,2020-11-01,145645,1909,2098,0,0,0,58,1.0,1.0,0.208,0.09788
194,2020-11-02,145599,1926,2125,0,0,0,60,1.1884057971014492,1.0,0.1,0.09788
195,2020-11-03,145584,1918,2147,0,0,0,61,1.4074074074074074,1.0,0.232,0.09788
196,2020-11-04,145533,1926,2189,0,0,0,62,1.6376811594202898,1.0,0.228,0.09788
197,2020-11-05,145477,1972,2199,0,0,0,62,1.0909090909090908,1.0,0.24,0.09788
198,2020-11-06,145434,2016,2198,0,0,0,62,1.8235294117647058,1.0,0.208,0.09788
199,2020-11-07,145394,2044,2210,0,0,0,62,1.24,0.0,0.162,0.09788
200,2020-11-08,145359,2046,2240,0,0,0,65,1.3333333333333333,1.0,0.158,0.09788
201,2020-11-09,145321,2071,2250,0,0,0,68,1.2666666666666666,1.0,0.228,0.09788
202,2020-11-10,145261,2099,2282,0,0,0,68,1.472972972972973,1.0,0.188,0.09788
203,2020-11-11,145207,2143,2291,0,0,0,69,1.2307692307692308,1.0,0.158,0.09788
204,2020-11-12,145165,2170,2304,0,0,0,71,1.6440677966101696,1.0,0.08,0.09788
205,2020-11-13,145145,2153,2340,0,0,0,72,1.1756756756756757,1.0,0.202,0.09788
206,2020-11-14,145097,2159,2380,0,0,0,74,1.3513513513513513,1.0,0.144,0.09788
207,2020-11-15,145065,2129,2440,0,0,0,76,1.3333333333333333,1.0,0.1,0.09788
208,2020-11-16,145051,2106,2477,0,0,0,76,1.1527777777777777,1.0,0.116,0.09788
209,2020-11-17,145024,2086,2524,0,0,0,76,1.303370786516854,1.0,0.08,0.09788
210,2020-11-18,144999,2089,2546,0,0,0,76,1.8235294117647058,2.0,0.122,0.09788
211,2020-11-19,144958,2119,2557,0,0,0,76,1.1020408163265305,1.0,0.142,0.09788
212,2020-11-20,144931,2139,2563,0,0,0,77,1.2830188679245282,1.0,0.188,0.09788
213,2020-11-21,144884,2176,2573,0,0,0,77,1.3157894736842106,1.0,0.088,0.09788
214,2020-11-22,144855,2199,2577,0,0,0,79,2.0588235294117645,1.0,0.224,0.09788
215,2020-11-23,144805,2226,2598,0,0,0,81,1.5,1.0,0.168,0.09788
216,2020-11-24,144767,2228,2634,0,0,0,81,1.435897435897436,1.0,0.098,0.09788
217,2020-11-25,144745,2221,2663,0,0,0,81,1.25,1.0,0.142,0.09788
218,2020-11-26,144714,2215,2698,0,0,0,83,1.7560975609756098,1.0,0.204,0.09788
219,2020-11-27,144667,2199,2760,0,0,0,84,1.3823529411764706,1.0,0.178,0.09788
220,2020-11-28,144621,2223,2781,0,0,0,85,1.5333333333333334,1.0,0.166,0.09788
221,2020-11-29,144581,2236,2807,0,0,0,86,1.2962962962962963,1.0,0.152,0.09788
222,2020-11-30,144548,2234,2841,0,0,0,87,1.7361111111111112,1.0,0.09,0.09788
223,2020-12-01,144528,2210,2884,0,0,0,88,1.3953488372093024,1.0,0.11,0.09788
224,2020-12-02,144504,2235,2883,0,0,0,88,1.8695652173913044,2.0,0.152,0.09788
225,2020-12-03,144466,2251,2904,0,0,0,89,1.3506493506493507,1.0,0.19,0.09788
226,2020-12-04,144408,2261,2950,0,0,0,91,1.6435643564356435,1.0,0.188,0.09788
227,2020-12-05,144351,2296,2972,0,0,0,91,1.064102564102564,0.5,0.09,0.09788
228,2020-12-06,144333,2292,2994,0,0,0,91,1.858974358974359,1.0,0.098,0.09788
229,2020-12-07,144306,2301,3009,0,0,0,94,1.554054054054054,1.0,0.116,0.09788
230,2020-12-08,144275,2309,3030,0,0,0,96,1.7,1.0,0.148,0.09788
231,2020-12-09,144223,2297,3094,0,0,0,96,1.5294117647058822,1.0,0.118,0.09788
232,2020-12-10,144200,2277,3137,0,0,0,96,1.4166666666666667,1.0,0.09,0.09788
233,2020-12-11,144183,2260,3171,0,0,0,96,1.6395348837209303,1.0,0.168,0.09788
234,2020-12-12,144142,2307,3164,0,0,0,97,1.719298245614035,1.0,0.202,0.09788
235,2020-12-13,144082,2348,3183,0,0,0,97,1.3,1.0,0.122,0.09788
236,2020-12-14,144059,2364,3187,0,0,0,100,1.4761904761904763,1.0,0.118,0.09788
237,2020-12-15,144033,2400,3177,0,0,0,100,2.1020408163265305,2.0,0.09,0.09788
238,2020-12-16,144017,2394,3198,0,0,0,101,1.391304347826087,1.0,0.164,0.09788
239,2020-12-17,143976,2445,3188,0,0,0,101,1.8518518518518519,1.0,0.208,0.09788
240,2020-12-18,143924,2473,3210,0,0,0,103,1.8860759493670887,1.0,0.136,0.09788
241,2020-12-19,143891,2488,3227,0,0,0,104,1.5890410958904109,1.0,0.08,0.09788
242,2020-12-20,143873,2473,3260,0,0,0,104,1.3936170212765957,1.0,0.142,0.09788
243,2020-12-21,143838,2488,3279,0,0,0,105,1.8243243243243243,1.0,0.094,0.09788
244,2020-12-22,143822,2487,3296,0,0,0,105,1.1411764705882352,1.0,0.18,0.09788
245,2020-12-23,143779,2502,3323,0,0,0,106,1.575,1.0,0.14,0.09788
246,2020-12-24,143752,2498,3354,0,0,0,106,1.821917808219178,1.0,0.182,0.09788
247,2020-12-25,143714,2529,3361,0,0,0,106,2.0,1.5,0.16,0.09788
248,2020-12-26,143669,2546,3389,0,0,0,106,1.313953488372093,1.0,0.096,0.09788
249,2020-12-27,143649,2519,3435,0,0,0,107,1.5119047619047619,1.0,0.202,0.09788
250,2020-12-28,143597,2530,3473,0,0,0,110,1.5638297872340425,1.0,0.08,0.09788
251,2020-12-29,143582,2522,3495,0,0,0,111,1.3714285714285714,1.0,0.234,0.09788
252,2020-12-30,143503,2610,3485,0,0,0,112,2.193548387096774,2.0,0.224,0.09788
253,2020-12-31,143446,2651,3501,0,0,0,112,1.5492957746478873,1.0,0.208,0.09788
254,2021-01-01,143406,2650,3542,0,0,0,112,1.5376344086021505,1.0,0.172,0.09788
255,2021-01-02,143373,2625,3599,0,0,0,113,1.4954954954954955,1.0,0.204,0.09788
256,2021-01-03,143322,2623,3650,0,0,0,115,1.3628318584070795,1.0,0.192,0.09788
257,2021-01-04,143272,2653,3669,0,0,0,116,1.5810810810810811,1.0,0.1,0.09788
258,2021-01-05,143252,2665,3675,0,0,0,118,1.927710843373494,1.0,0.174,0.09788
259,2021-01-06,143209,2690,3692,0,0,0,119,1.8717948717948718,1.0,0.1,0.09788
260,2021-01-07,143180,2671,3740,0,0,0,119,1.5666666666666667,1.0,0.13,0.09788
261,2021-01-08,143146,2681,3763,0,0,0,120,1.881578947368421,1.0,0.24,0.09788
262,2021-01-09,143075,2745,3770,0,0,0,120,2.3333333333333335,2.0,0.162,0.09788
263,2021-01-10,143031,2735,3824,0,0,0,120,1.8173076923076923,1.0,0.188,0.09788
264,2021-01-11,142979,2716,3892,0,0,0,123,1.7355371900826446,1.0,0.206,0.09788
265,2021-01-12,142930,2752,3905,0,0,0,123,1.8860759493670887,1.0,0.19,0.09788
266,2021-01-13,142886,2773,3928,0,0,0,123,2.4352941176470586,2.0,0.108,0.09788
267,2021-01-14,142872,2779,3935,0,0,0,124,2.2698412698412698,2.0,0.118,0.09788
268,2021-01-15,142847,2773,3965,0,0,0,125,1.7904761904761906,1.0,0.122,0.09788
269,2021-01-16,142810,2761,4013,0,0,0,126,1.5981308411214954,1.0,0.224,0.09788
270,2021-01-17,142749,2794,4040,0,0,0,127,1.7840909090909092,1.0,0.182,0.09788
271,2021-01-18,142708,2831,4044,0,0,0,127,1.9367088607594938,1.0,0.174,0.09788
272,2021-01-19,142657,2866,4060,0,0,0,127,1.404494382022472,1.0,0.234,0.09788
273,2021-01-20,142613,2892,4076,0,0,0,129,2.130952380952381,1.0,0.232,0.09788
274,2021-01-21,142565,2919,4097,0,0,0,129,1.6631578947368422,1.0,0.128,0.09788
275,2021-01-22,142536,2943,4100,0,0,0,131,2.2318840579710146,2.0,0.104,0.09788
276,2021-01-23,142517,2927,4135,0,0,0,131,2.1869158878504673,1.0,0.162,0.09788
277,2021-01-24,142484,2930,4164,0,0,0,132,1.7572815533980584,1.0,0.226,0.09788
278,2021-01-25,142433,2990,4154,0,0,0,133,2.210526315789474,2.0,0.102,0.09788
279,2021-01-26,142414,2979,4184,0,0,0,133,1.619047619047619,1.0,0.15,0.09788
280,2021-01-27,142375,3008,4193,0,0,0,134,2.129032258064516,2.0,0.128,0.09788
281,2021-01-28,142349,2943,4283,0,0,0,135,1.9066666666666667,1.0,0.118,0.09788
282,2021-01-29,142320,2937,4317,0,0,0,136,1.75,1.0,0.202,0.09788
283,2021-01-30,142271,2965,4337,0,0,0,137,2.0,1.0,0.118,0.09788
284,2021-01-31,142235,2994,4343,0,0,0,138,2.255813953488372,2.0,0.154,0.09788
285,2021-02-01,142195,3016,4357,0,0,0,142,1.4234234234234233,1.0,0.234,0.09788
286,2021-02-02,142133,3047,4385,0,0,0,145,1.625,1.0,0.196,0.09788
287,2021-02-03,142092,3055,4418,0,0,0,145,2.5894736842105264,2.0,0.23,0.09788
288,2021-02-04,142031,3093,4441,0,0,0,145,1.8446601941747574,1.0,0.17,0.09788
289,2021-02-05,141985,3166,4413,0,0,0,146,1.7746478873239437,1.0,0.172,0.09788
290,2021-02-06,141956,3178,4428,0,0,0,148,1.9069767441860466,2.0,0.082,0.09788
291,2021-02-07,141940,3134,4486,0,0,0,150,1.4661654135338347,1.0,0.146,0.09788
292,2021-02-08,141915,3134,4510,0,0,0,151,1.9042553191489362,1.0,0.124,0.09788
293,2021-02-09,141887,3149,4521,0,0,0,153,1.7352941176470589,1.0,0.086,0.09788
294,2021-02-10,141867,3140,4548,0,0,0,155,1.8521739130434782,1.0,0.114,0.09788
295,2021-02-11,141838,3132,4583,0,0,0,157,1.7924528301886793,1.0,0.224,0.09788
296,2021-02-12,141774,3203,4576,0,0,0,157,2.6231884057971016,2.0,0.204,0.09788
297,2021-02-13,141738,3211,4603,0,0,0,158,2.393939393939394,2.0,0.22,0.09788
298,2021-02-14,141690,3243,4616,0,0,0,161,2.5052631578947366,2.0,0.116,0.09788
299,2021-02-15,141669,3223,4656,0,0,0,162,1.5041322314049588,1.0,0.164,0.09788
300,2021-02-16,141625,3236,4685,0,0,0,164,2.2758620689655173,1.0,0.188,0.09788
301,2021-02-17,141591,3214,4739,0,0,0,166,1.7338709677419355,1.0,0.146,0.09788
302,2021-02-18,141550,3230,4762,0,0,0,168,2.018181818181818,1.0,0.176,0.09788
303,2021-02-19,141508,3231,4800,0,0,0,171,1.8852459016393444,1.0,0.15,0.09788
304,2021-02-20,141466,3255,4817,0,0,0,172,2.096774193548387,2.0,0.236,0.09788
305,2021-02-21,141419,3281,4838,0,0,0,172,2.4395604395604398,2.0,0.178,0.09788
