step,days_passed,susceptible,infected,recovered,partially_vaccinated,fully_vaccinated_without_booster,fully_vaccinated_with_booster,dead,mean_R₀,median_R₀,infection_probability,vaccination_probability
0,2020-04-22,149709,1,0,0,0,0,0,0.0,0.0,0.46,0.09788
1,2020-04-23,149708,2,0,0,0,0,0,0.0,0.0,0.46,0.09788
2,2020-04-24,149708,2,0,0,0,0,0,0.0,0.0,0.46,0.09788
3,2020-04-25,149708,2,0,0,0,0,0,0.0,0.0,0.46,0.09788
4,2020-04-26,149707,3,0,0,0,0,0,0.0,0.0,0.46,0.09788
5,2020-04-27,149705,5,0,0,0,0,0,0.0,0.0,0.46,0.09788
6,2020-04-28,149705,5,0,0,0,0,0,0.0,0.0,0.46,0.09788
7,2020-04-29,149705,5,0,0,0,0,0,0.0,0.0,0.46,0.09788
8,2020-04-30,149703,7,0,0,0,0,0,0.0,0.0,0.46,0.09788
9,2020-05-01,149700,10,0,0,0,0,0,0.0,0.0,0.46,0.09788
10,2020-05-02,149700,10,0,0,0,0,0,0.0,0.0,0.46,0.09788
11,2020-05-03,149699,11,0,0,0,0,0,0.0,0.0,0.46,0.09788
12,2020-05-04,149698,12,0,0,0,0,0,0.0,0.0,0.46,0.09788
13,2020-05-05,149697,13,0,0,0,0,0,0.0,0.0,0.46,0.09788
14,2020-05-06,149695,15,0,0,0,0,0,0.0,0.0,0.46,0.09788
15,2020-05-07,149691,19,0,0,0,0,0,0.0,0.0,0.46,0.09788
16,2020-05-08,149687,23,0,0,0,0,0,0.0,0.0,0.46,0.09788
17,2020-05-09,149685,25,0,0,0,0,0,0.0,0.0,0.46,0.09788
18,2020-05-10,149682,28,0,0,0,0,0,0.0,0.0,0.46,0.09788
19,2020-05-11,149681,29,0,0,0,0,0,0.0,0.0,0.46,0.09788
20,2020-05-12,149675,35,0,0,0,0,0,0.0,0.0,0.46,0.09788
21,2020-05-13,149671,39,0,0,0,0,0,0.0,0.0,0.46,0.09788
22,2020-05-14,149668,42,0,0,0,0,0,0.0,0.0,0.46,0.09788
23,2020-05-15,149659,51,0,0,0,0,0,0.0,0.0,0.46,0.09788
24,2020-05-16,149650,60,0,0,0,0,0,0.0,0.0,0.15,0.09788
25,2020-05-17,149648,62,0,0,0,0,0,0.0,0.0,0.128,0.09788
26,2020-05-18,149648,62,0,0,0,0,0,0.0,0.0,0.23,0.09788
27,2020-05-19,149640,70,0,0,0,0,0,0.0,0.0,0.232,0.09788
28,2020-05-20,149635,75,0,0,0,0,0,0.0,0.0,0.114,0.09788
29,2020-05-21,149632,78,0,0,0,0,0,0.0,0.0,0.158,0.09788
30,2020-05-22,149629,79,2,0,0,0,0,2.0,2.0,0.232,0.09788
31,2020-05-23,149625,83,2,0,0,0,0,2.0,2.0,0.082,0.09788
32,2020-05-24,149622,86,2,0,0,0,0,2.0,2.0,0.208,0.09788
33,2020-05-25,149619,88,3,0,0,0,0,5.0,5.0,0.206,0.09788
34,2020-05-26,149614,91,5,0,0,0,0,2.0,2.0,0.134,0.09788
35,2020-05-27,149610,95,5,0,0,0,0,2.0,2.0,0.112,0.09788
36,2020-05-28,149609,96,5,0,0,0,0,2.0,2.0,0.094,0.09788
37,2020-05-29,149608,95,7,0,0,0,0,5.5,5.5,0.114,0.09788
38,2020-05-30,149604,96,10,0,0,0,0,0.6666666666666666,1.0,0.172,0.09788
39,2020-05-31,149599,101,10,0,0,0,0,0.6666666666666666,1.0,0.238,0.09788
40,2020-06-01,149597,102,11,0,0,0,0,6.0,6.0,0.17,0.09788
41,2020-06-02,149592,106,12,0,0,0,0,4.0,4.0,0.178,0.09788
42,2020-06-03,149590,107,13,0,0,0,0,1.0,1.0,0.216,0.09788
43,2020-06-04,149583,112,15,0,0,0,0,2.0,2.0,0.162,0.09788
44,2020-06-05,149581,110,19,0,0,0,0,1.75,1.0,0.184,0.09788
45,2020-06-06,149573,114,23,0,0,0,0,2.0,2.0,0.22,0.09788
46,2020-06-07,149565,120,24,0,0,0,1,3.0,3.0,0.182,0.09788
47,2020-06-08,149564,118,27,0,0,0,1,2.0,3.0,0.1,0.09788
48,2020-06-09,149563,118,28,0,0,0,1,1.0,1.0,0.128,0.09788
49,2020-06-10,149561,114,34,0,0,0,1,1.6666666666666667,1.5,0.194,0.09788
50,2020-06-11,149555,116,38,0,0,0,1,1.25,1.0,0.188,0.09788
51,2020-06-12,149549,119,41,0,0,0,1,1.6666666666666667,0.0,0.086,0.09788
52,2020-06-13,149544,115,50,0,0,0,1,1.1111111111111112,1.0,0.194,0.09788
53,2020-06-14,149534,117,58,0,0,0,1,1.2222222222222223,0.0,0.098,0.09788
54,2020-06-15,149529,120,60,0,0,0,1,0.5,0.5,0.082,0.09788
55,2020-06-16,149522,129,58,0,0,0,1,0.5,0.5,0.088,0.09788
56,2020-06-17,149520,123,66,0,0,0,1,0.625,1.0,0.162,0.09788
57,2020-06-18,149506,132,71,0,0,0,1,0.4,0.0,0.112,0.09788
58,2020-06-19,149501,134,74,0,0,0,1,0.3333333333333333,0.0,0.142,0.09788
59,2020-06-20,149492,140,77,0,0,0,1,0.3333333333333333,0.0,0.152,0.09788
60,2020-06-21,149485,144,80,0,0,0,1,1.0,1.0,0.122,0.09788
61,2020-06-22,149478,148,83,0,0,0,1,0.6666666666666666,1.0,0.146,0.09788
62,2020-06-23,149464,160,85,0,0,0,1,1.3333333333333333,2.0,0.086,0.09788
63,2020-06-24,149461,158,90,0,0,0,1,2.0,1.0,0.186,0.09788
64,2020-06-25,149444,171,94,0,0,0,1,0.75,1.0,0.206,0.09788
65,2020-06-26,149427,187,95,0,0,0,1,3.0,3.0,0.128,0.09788
66,2020-06-27,149419,194,96,0,0,0,1,5.0,5.0,0.14,0.09788
67,2020-06-28,149409,200,100,0,0,0,1,1.25,0.5,0.134,0.09788
68,2020-06-29,149396,208,105,0,0,0,1,0.6,1.0,0.148,0.09788
69,2020-06-30,149378,224,107,0,0,0,1,1.0,1.0,0.088,0.09788
70,2020-07-01,149371,227,111,0,0,0,1,1.4,2.0,0.136,0.09788
71,2020-07-02,149361,235,113,0,0,0,1,0.5,0.5,0.156,0.09788
72,2020-07-03,149346,243,120,0,0,0,1,1.4285714285714286,1.0,0.14,0.09788
73,2020-07-04,149340,247,122,0,0,0,1,2.0,2.0,0.098,0.09788
74,2020-07-05,149329,250,130,0,0,0,1,0.875,1.0,0.212,0.09788
75,2020-07-06,149311,260,138,0,0,0,1,0.75,1.0,0.148,0.09788
76,2020-07-07,149293,277,139,0,0,0,1,1.0,1.0,0.122,0.09788
77,2020-07-08,149281,288,140,0,0,0,1,1.0,1.0,0.094,0.09788
78,2020-07-09,149271,296,142,0,0,0,1,2.0,2.0,0.184,0.09788
79,2020-07-10,149256,306,147,0,0,0,1,2.0,1.0,0.212,0.09788
80,2020-07-11,149244,314,151,0,0,0,1,0.8333333333333334,0.5,0.224,0.09788
81,2020-07-12,149217,337,155,0,0,0,1,1.0,1.0,0.204,0.09788
82,2020-07-13,149195,349,165,0,0,0,1,1.6363636363636365,1.0,0.128,0.09788
83,2020-07-14,149177,362,170,0,0,0,1,1.0,1.0,0.124,0.09788
84,2020-07-15,149164,366,179,0,0,0,1,1.1111111111111112,1.0,0.128,0.09788
85,2020-07-16,149155,373,181,0,0,0,1,2.0,2.0,0.114,0.09788
86,2020-07-17,149143,372,194,0,0,0,1,0.5714285714285714,0.5,0.204,0.09788
87,2020-07-18,149104,408,197,0,0,0,1,0.2,0.0,0.144,0.09788
88,2020-07-19,149086,420,203,0,0,0,1,1.7777777777777777,2.0,0.082,0.09788
89,2020-07-20,149077,421,211,0,0,0,1,1.375,1.0,0.108,0.09788
90,2020-07-21,149062,431,216,0,0,0,1,1.1428571428571428,1.0,0.212,0.09788
91,2020-07-22,149027,452,230,0,0,0,1,0.4,0.0,0.09,0.09788
92,2020-07-23,149014,464,231,0,0,0,1,1.0,1.0,0.148,0.09788
93,2020-07-24,148994,469,245,0,0,0,2,0.7647058823529411,1.0,0.204,0.09788
94,2020-07-25,148971,475,262,0,0,0,2,1.0588235294117647,1.0,0.22,0.09788
95,2020-07-26,148932,508,268,0,0,0,2,0.625,1.0,0.228,0.09788
96,2020-07-27,148896,538,274,0,0,0,2,1.2,1.0,0.226,0.09788
97,2020-07-28,148864,559,285,0,0,0,2,1.0,0.0,0.218,0.09788
98,2020-07-29,148827,579,302,0,0,0,2,0.8333333333333334,0.5,0.1,0.09788
99,2020-07-30,148815,586,307,0,0,0,2,0.875,0.5,0.132,0.09788
100,2020-07-31,148793,598,317,0,0,0,2,1.0,0.5,0.236,0.09788
101,2020-08-01,148762,619,326,0,0,0,3,0.6,0.0,0.196,0.09788
102,2020-08-02,148737,641,329,0,0,0,3,0.6666666666666666,0.0,0.08,0.09788
103,2020-08-03,148718,650,339,0,0,0,3,0.5454545454545454,0.0,0.114,0.09788
104,2020-08-04,148696,657,353,0,0,0,4,0.5555555555555556,0.5,0.164,0.09788
105,2020-08-05,148662,677,366,0,0,0,5,0.9444444444444444,1.0,0.142,0.09788
106,2020-08-06,148641,688,376,0,0,0,5,0.5833333333333334,0.5,0.238,0.09788
107,2020-08-07,148601,722,382,0,0,0,5,0.9,1.0,0.176,0.09788
108,2020-08-08,148573,736,394,0,0,0,7,1.0,1.0,0.166,0.09788
109,2020-08-09,148544,754,404,0,0,0,8,0.8571428571428571,0.5,0.16,0.09788
110,2020-08-10,148523,749,429,0,0,0,9,0.8928571428571429,1.0,0.218,0.09788
111,2020-08-11,148474,780,447,0,0,0,9,1.1304347826086956,1.0,0.094,0.09788
112,2020-08-12,148455,785,461,0,0,0,9,1.4444444444444444,1.0,0.138,0.09788
113,2020-08-13,148421,810,470,0,0,0,9,1.2307692307692308,1.0,0.126,0.09788
114,2020-08-14,148396,831,473,0,0,0,10,0.4444444444444444,0.0,0.082,0.09788
115,2020-08-15,148380,838,482,0,0,0,10,1.0769230769230769,1.0,0.17,0.09788
116,2020-08-16,148354,824,521,0,0,0,11,1.0,1.0,0.114,0.09788
117,2020-08-17,148322,839,537,0,0,0,12,0.9523809523809523,1.0,0.192,0.09788
